  #time	ai	proti	chi2	massp                                                                                                                                                                              
   4100.0051999999996        1.1684946000000000E-002   27.070610190233158        99.631232790699883        1.0000000000000000     
   6300.0051999999996        1.1682688000000000E-002   26.973258270446873        94.466767029096687        1.0000000000000000     
   4450.0051999999996        1.0978032000000000E-002   24.347253252597703        92.202959274862280        1.0000000000000000     
   5600.0047000000004        1.1631973000000000E-002   26.958511519548381        89.552007825457082        1.0000000000000000     
   4600.0047000000004        1.1006353000000000E-002   24.463437163824675        84.344292273209291        1.0000000000000000     
   4300.0047000000004        1.1619608999999999E-002   26.835035041080310        83.010423611604324        1.0000000000000000     
   12100.004999999999        1.1224562000000000E-002   24.654879942442804        82.722502073191293        1.0000000000000000     
   11800.004999999999        1.1228461000000000E-002   24.661680799196795        82.505368365690543        1.0000000000000000     
   11700.004999999999        1.1724299000000001E-002   26.566841917334472        82.362923532292641        1.0000000000000000     
   11900.004999999999        1.1264509000000001E-002   24.745193672866691        79.338049088932280        1.0000000000000000     
   11600.004999999999        1.1697136000000000E-002   26.513739348830871        78.604971467275348        1.0000000000000000     
   11900.004999999999        1.1694084000000000E-002   26.502720086155197        78.066205538715352        1.0000000000000000     
   4150.0051999999996        1.1600767999999999E-002   26.747994415283969        78.048848697800423        1.0000000000000000     
   5900.0047000000004        1.1027362000000001E-002   24.581994875838650        76.655280114853468        1.0000000000000000     
   6600.0051999999996        1.1095878999999999E-002   24.661427392898091        74.818185360065911        1.0000000000000000     
   6350.0051999999996        1.1598509999999999E-002   26.641838044226649        74.179760298518403        1.0000000000000000     
   5650.0047000000004        1.1545556000000000E-002   26.617126485859512        69.239713950617784        1.0000000000000000     
   4400.0051999999996        1.1099977000000000E-002   24.817295376348447        65.218491169508837        1.0000000000000000     
   4350.0047000000004        1.1532061999999999E-002   26.496928115756130        64.853790882621297        1.0000000000000000     
   4200.0051999999996        1.1512111000000000E-002   26.407134791537398        61.305963134597008        1.0000000000000000     
   4550.0047000000004        1.1126102000000001E-002   24.926081160131496        60.535185468188502        1.0000000000000000     
   6400.0051999999996        1.1509762000000000E-002   26.292105110777054        59.117670125180332        1.0000000000000000     
   11800.004999999999        1.1510414000000000E-002   25.714530946031267        59.071078625116456        1.0000000000000000     
   11700.004999999999        1.1479497999999999E-002   25.648731566695254        57.807598778908321        1.0000000000000000     
   12000.004999999999        1.1476037999999999E-002   25.639890156035868        57.709184584392993        1.0000000000000000     
   6550.0051999999996        1.1209856000000001E-002   25.109906670624540        56.400443151956850        1.0000000000000000     
   5850.0047000000004        1.1145274000000000E-002   25.042940156413849        55.690402956339270        1.0000000000000000     
   5700.0047000000004        1.1454354000000000E-002   26.257342170778067        54.534266376731360        1.0000000000000000     
   4400.0047000000004        1.1439632999999999E-002   26.139435825056353        52.299640703310232        1.0000000000000000     
   4350.0051999999996        1.1213249000000000E-002   25.254373228269927        50.698311913076836        1.0000000000000000     
   4250.0051999999996        1.1418431000000000E-002   26.046173231598029        50.351964266643932        1.0000000000000000     
   6450.0051999999996        1.1415879000000000E-002   25.921943879701786        50.270155041551817        1.0000000000000000     
   6500.0051999999996        1.1316184999999999E-002   25.528868756896458        48.857692084088910        1.0000000000000000     
   4500.0047000000004        1.1237497000000001E-002   25.357009159179501        48.620902785986097        1.0000000000000000     
   5750.0047000000004        1.1357758000000001E-002   25.876938650523382        46.466274374736983        1.0000000000000000     
   4450.0047000000004        1.1341698000000001E-002   25.760357659013845        46.439551600930855        1.0000000000000000     
   4300.0051999999996        1.1319075000000000E-002   25.662846862989653        46.340779448583461        1.0000000000000000     
